"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area";"Technology";"Data Type";"Grid connection";"Year";Electricity statistics (MW/GWh)
"Afghanistan";"Renewable municipal waste";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Liquid biofuels";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Biogas";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Biogas";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Biogas";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Biogas";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Biogas";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Biogas";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Geothermal energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"All";"2000";29.7250
"Afghanistan";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"On-grid";"2000";2.7980
"Afghanistan";"Total Non-Renewable";"Electricity Installed Capacity (MW)";"Off-grid";"2000";26.9270
"Afghanistan";"Total Non-Renewable";"Electricity Generation (GWh)";"All";"2000";31.6400
"Afghanistan";"Total Non-Renewable";"Electricity Generation (GWh)";"On-grid";"2000";30.0400
"Afghanistan";"Total Non-Renewable";"Electricity Generation (GWh)";"Off-grid";"2000";1.6000
"Afghanistan";"Pumped storage";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Pumped storage";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Pumped storage";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Pumped storage";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Pumped storage";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Pumped storage";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Coal and peat";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Coal and peat";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Coal and peat";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Coal and peat";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Coal and peat";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Coal and peat";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Oil";"Electricity Installed Capacity (MW)";"All";"2000";2.7980
"Afghanistan";"Oil";"Electricity Installed Capacity (MW)";"On-grid";"2000";2.7980
"Afghanistan";"Oil";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Oil";"Electricity Generation (GWh)";"All";"2000";30.0400
"Afghanistan";"Oil";"Electricity Generation (GWh)";"On-grid";"2000";30.0400
"Afghanistan";"Oil";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Natural gas";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Natural gas";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Natural gas";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Natural gas";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Natural gas";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Natural gas";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"All";"2000";26.9270
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Installed Capacity (MW)";"Off-grid";"2000";26.9270
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"All";"2000";1.6000
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Fossil fuels n.e.s.";"Electricity Generation (GWh)";"Off-grid";"2000";1.6000
"Afghanistan";"Nuclear";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Nuclear";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Nuclear";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Nuclear";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Nuclear";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Nuclear";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Other non-renewable energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Total Renewable";"Electricity Installed Capacity (MW)";"All";"2000";1453.0000
"Albania";"Total Renewable";"Electricity Installed Capacity (MW)";"On-grid";"2000";1453.0000
"Albania";"Total Renewable";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Total Renewable";"Electricity Generation (GWh)";"All";"2000";4594.0000
"Albania";"Total Renewable";"Electricity Generation (GWh)";"On-grid";"2000";4594.0000
"Albania";"Total Renewable";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Solar photovoltaic";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Solar photovoltaic";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Solar photovoltaic";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Solar thermal energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Solar thermal energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Solar thermal energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Solar thermal energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Solar thermal energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Solar thermal energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Onshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Onshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Onshore wind energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Onshore wind energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Onshore wind energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Onshore wind energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Offshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Albania";"Offshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Albania";"Offshore wind energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Offshore wind energy";"Electricity Generation (GWh)";"All";"2000";-
"Albania";"Offshore wind energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Albania";"Offshore wind energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Albania";"Renewable hydropower";"Electricity Installed Capacity (MW)";"All";"2000";1453.0000
"Albania";"Renewable hydropower";"Electricity Installed Capacity (MW)";"On-grid";"2000";1453.0000
"Albania";"Renewable hydropower";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Albania";"Renewable hydropower";"Electricity Generation (GWh)";"All";"2000";4594.0000
"Albania";"Renewable hydropower";"Electricity Generation (GWh)";"On-grid";"2000";4594.0000
