Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
21.0,0.0,1715.0,195.0,2372.0,0.0,0.0,0.0,485.0,0.0,2583.0,1051.0,0.0,1.0,408.0,0.0,1768.0,4.0,1544.0,0.0
20.0,0.0,1787.0,194.0,2375.0,0.0,0.0,0.0,485.0,0.0,2590.0,1097.0,0.0,1.0,404.0,0.0,1791.0,10.0,1575.0,0.0
21.0,0.0,1768.0,194.0,2374.0,0.0,0.0,0.0,485.0,0.0,2580.0,1070.0,0.0,1.0,411.0,0.0,1968.0,16.0,1599.0,0.0
20.0,0.0,1607.0,195.0,2374.0,0.0,0.0,0.0,485.0,0.0,2510.0,1081.0,0.0,1.0,411.0,0.0,1935.0,9.0,1539.0,0.0
21.0,0.0,1776.0,243.0,2302.0,0.0,0.0,0.0,485.0,0.0,2440.0,1128.0,0.0,1.0,410.0,0.0,1998.0,18.0,1516.0,0.0
21.0,0.0,1847.0,240.0,2214.0,0.0,0.0,0.0,485.0,0.0,2406.0,1162.0,0.0,1.0,412.0,0.0,1877.0,18.0,1519.0,0.0
21.0,0.0,1847.0,237.0,2211.0,0.0,0.0,0.0,485.0,0.0,2432.0,1182.0,0.0,1.0,406.0,0.0,1799.0,17.0,1458.0,0.0
22.0,0.0,1842.0,240.0,2226.0,0.0,0.0,0.0,485.0,0.0,2401.0,1176.0,0.0,1.0,401.0,0.0,1684.0,12.0,1418.0,0.0
21.0,0.0,1934.0,258.0,2179.0,0.0,0.0,0.0,485.0,0.0,2384.0,1187.0,0.0,1.0,400.0,0.0,1524.0,9.0,1344.0,0.0
22.0,0.0,2043.0,258.0,2107.0,0.0,0.0,0.0,485.0,0.0,2385.0,1194.0,0.0,1.0,409.0,0.0,1400.0,10.0,1325.0,0.0
21.0,0.0,2000.0,258.0,2092.0,0.0,0.0,0.0,485.0,0.0,2449.0,1188.0,0.0,1.0,412.0,0.0,1412.0,10.0,1371.0,0.0
21.0,0.0,1869.0,257.0,2062.0,0.0,0.0,0.0,485.0,0.0,2403.0,1198.0,0.0,1.0,410.0,0.0,1381.0,8.0,1436.0,0.0
21.0,0.0,1650.0,189.0,1994.0,0.0,0.0,0.0,485.0,0.0,2120.0,1348.0,0.0,1.0,411.0,0.0,1325.0,2.0,1362.0,0.0
22.0,0.0,1722.0,169.0,1903.0,0.0,0.0,0.0,485.0,0.0,2095.0,1417.0,0.0,1.0,408.0,0.0,1320.0,8.0,1405.0,0.0
21.0,0.0,1704.0,168.0,1864.0,0.0,0.0,0.0,485.0,0.0,2180.0,1404.0,0.0,1.0,411.0,0.0,1363.0,10.0,1442.0,0.0
21.0,0.0,1599.0,168.0,1815.0,0.0,0.0,0.0,485.0,0.0,2228.0,1401.0,0.0,1.0,403.0,0.0,1389.0,9.0,1403.0,0.0
22.0,0.0,1610.0,167.0,1745.0,0.0,0.0,0.0,485.0,0.0,2185.0,1425.0,0.0,1.0,407.0,0.0,1440.0,11.0,1434.0,0.0
21.0,0.0,1675.0,166.0,1718.0,0.0,0.0,0.0,485.0,0.0,2063.0,1449.0,0.0,1.0,413.0,0.0,1406.0,9.0,1424.0,0.0
21.0,0.0,1675.0,165.0,1713.0,0.0,0.0,0.0,485.0,0.0,2113.0,1441.0,0.0,1.0,411.0,0.0,1470.0,12.0,1405.0,0.0
22.0,0.0,1678.0,167.0,1702.0,0.0,0.0,0.0,485.0,0.0,2074.0,1423.0,0.0,1.0,414.0,0.0,1428.0,10.0,1377.0,0.0
21.0,0.0,1676.0,166.0,1668.0,0.0,0.0,0.0,485.0,0.0,2125.0,1436.0,0.0,1.0,410.0,0.0,1364.0,10.0,1286.0,0.0
21.0,0.0,1672.0,167.0,1657.0,0.0,0.0,0.0,485.0,0.0,2142.0,1455.0,0.0,1.0,412.0,0.0,1395.0,9.0,1237.0,0.0
21.0,0.0,1670.0,166.0,1663.0,0.0,0.0,0.0,485.0,0.0,2057.0,1442.0,0.0,1.0,417.0,0.0,1370.0,9.0,1317.0,0.0
21.0,0.0,1668.0,169.0,1663.0,0.0,0.0,0.0,485.0,0.0,1981.0,1434.0,0.0,1.0,412.0,0.0,1494.0,10.0,1332.0,0.0
22.0,0.0,1497.0,167.0,1670.0,0.0,0.0,0.0,485.0,0.0,1812.0,1481.0,0.0,1.0,416.0,0.0,1569.0,4.0,1258.0,0.0
21.0,0.0,1411.0,166.0,1669.0,0.0,0.0,0.0,485.0,0.0,1728.0,1531.0,0.0,1.0,417.0,0.0,1589.0,3.0,1319.0,0.0
22.0,0.0,1448.0,166.0,1665.0,0.0,0.0,0.0,485.0,0.0,1802.0,1533.0,0.0,1.0,422.0,0.0,1553.0,8.0,1244.0,0.0
21.0,0.0,1564.0,167.0,1667.0,0.0,0.0,0.0,485.0,0.0,1908.0,1524.0,0.0,1.0,427.0,0.0,1546.0,8.0,1053.0,0.0
21.0,0.0,1605.0,166.0,1669.0,0.0,0.0,0.0,485.0,0.0,1948.0,1512.0,0.0,1.0,427.0,0.0,1580.0,8.0,1028.0,0.0
21.0,0.0,1658.0,166.0,1669.0,0.0,0.0,0.0,485.0,0.0,1916.0,1499.0,0.0,1.0,427.0,0.0,1577.0,9.0,1015.0,0.0
21.0,0.0,1660.0,168.0,1667.0,0.0,0.0,0.0,485.0,0.0,1940.0,1476.0,0.0,1.0,418.0,0.0,1586.0,9.0,1005.0,0.0
20.0,0.0,1660.0,167.0,1664.0,0.0,0.0,0.0,485.0,0.0,1833.0,1450.0,0.0,1.0,417.0,1.0,1563.0,9.0,1018.0,0.0
21.0,0.0,1674.0,168.0,1664.0,0.0,0.0,0.0,485.0,0.0,1688.0,1440.0,0.0,1.0,413.0,1.0,1489.0,10.0,1044.0,0.0
21.0,0.0,1670.0,166.0,1667.0,0.0,0.0,0.0,485.0,0.0,1687.0,1412.0,0.0,1.0,418.0,1.0,1468.0,9.0,1078.0,0.0
21.0,0.0,1671.0,166.0,1694.0,0.0,0.0,0.0,485.0,0.0,1795.0,1371.0,0.0,1.0,416.0,1.0,1454.0,9.0,1140.0,0.0
21.0,0.0,1640.0,167.0,1723.0,0.0,0.0,0.0,485.0,0.0,1856.0,1362.0,0.0,1.0,415.0,1.0,1452.0,11.0,1196.0,0.0
21.0,0.0,1605.0,167.0,1729.0,0.0,0.0,0.0,485.0,0.0,1896.0,1338.0,2.0,0.0,414.0,1.0,1380.0,11.0,1268.0,0.0
21.0,0.0,1649.0,167.0,1727.0,0.0,0.0,0.0,485.0,0.0,1984.0,1306.0,5.0,0.0,417.0,1.0,1389.0,12.0,1199.0,0.0
21.0,0.0,1645.0,172.0,1730.0,0.0,0.0,0.0,485.0,0.0,2165.0,1263.0,7.0,0.0,413.0,1.0,1527.0,12.0,1158.0,0.0
21.0,0.0,1492.0,170.0,1730.0,0.0,0.0,0.0,485.0,0.0,2159.0,1256.0,9.0,0.0,417.0,1.0,1717.0,3.0,1176.0,0.0
21.0,0.0,1478.0,171.0,1730.0,0.0,0.0,0.0,485.0,0.0,2111.0,1259.0,12.0,0.0,419.0,1.0,1806.0,18.0,1221.0,0.0
21.0,0.0,1568.0,168.0,1726.0,0.0,0.0,0.0,485.0,0.0,2183.0,1239.0,16.0,0.0,412.0,1.0,1848.0,19.0,1297.0,0.0
21.0,0.0,1483.0,169.0,1730.0,0.0,0.0,0.0,485.0,0.0,2224.0,1212.0,29.0,0.0,423.0,1.0,1872.0,5.0,1319.0,0.0
21.0,0.0,1451.0,169.0,1734.0,0.0,0.0,0.0,485.0,0.0,2453.0,1183.0,37.0,0.0,418.0,1.0,1907.0,18.0,1366.0,0.0
21.0,0.0,1558.0,169.0,1727.0,0.0,0.0,0.0,485.0,0.0,2624.0,1164.0,36.0,0.0,423.0,1.0,1999.0,18.0,1413.0,0.0
21.0,0.0,1702.0,168.0,1733.0,0.0,0.0,0.0,485.0,0.0,2740.0,1122.0,35.0,0.0,421.0,1.0,2048.0,18.0,1414.0,0.0
21.0,0.0,1607.0,169.0,1735.0,0.0,0.0,0.0,485.0,0.0,2728.0,1094.0,37.0,0.0,419.0,1.0,2058.0,5.0,1363.0,0.0
20.0,0.0,1652.0,170.0,1730.0,0.0,0.0,0.0,485.0,0.0,2886.0,1063.0,33.0,0.0,418.0,1.0,2059.0,19.0,1339.0,0.0
21.0,0.0,1788.0,169.0,1730.0,0.0,0.0,0.0,485.0,0.0,3022.0,1015.0,42.0,0.0,423.0,1.0,2120.0,19.0,1347.0,0.0
