Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
9.0,0.0,7123.0,863.0,2083.0,16.0,0.0,0.0,485.0,0.0,2622.0,746.0,0.0,1.0,439.0,0.0,49.0,4.0,137.0,0.0
9.0,0.0,6882.0,832.0,2084.0,16.0,0.0,0.0,485.0,0.0,2358.0,789.0,0.0,0.0,443.0,0.0,59.0,3.0,136.0,0.0
9.0,0.0,6744.0,842.0,2047.0,16.0,0.0,0.0,485.0,0.0,2185.0,808.0,0.0,1.0,444.0,0.0,63.0,0.0,126.0,0.0
9.0,0.0,6738.0,779.0,2043.0,16.0,0.0,0.0,485.0,0.0,2217.0,815.0,0.0,0.0,441.0,0.0,84.0,0.0,124.0,0.0
9.0,0.0,6497.0,697.0,2029.0,16.0,0.0,0.0,485.0,0.0,2031.0,825.0,0.0,1.0,444.0,0.0,107.0,0.0,112.0,0.0
9.0,0.0,6606.0,606.0,1996.0,16.0,0.0,0.0,485.0,0.0,1944.0,843.0,0.0,0.0,435.0,0.0,117.0,0.0,120.0,0.0
9.0,0.0,6548.0,607.0,2030.0,16.0,0.0,0.0,485.0,0.0,1832.0,849.0,0.0,1.0,438.0,0.0,124.0,0.0,123.0,0.0
9.0,0.0,6621.0,606.0,2038.0,16.0,0.0,0.0,485.0,0.0,1682.0,852.0,0.0,0.0,441.0,0.0,116.0,0.0,123.0,0.0
9.0,0.0,6234.0,604.0,2043.0,16.0,0.0,0.0,484.0,0.0,1651.0,898.0,0.0,1.0,436.0,0.0,109.0,0.0,125.0,0.0
9.0,0.0,6177.0,608.0,1996.0,16.0,0.0,0.0,484.0,0.0,1610.0,942.0,0.0,0.0,430.0,0.0,119.0,0.0,124.0,0.0
9.0,0.0,6212.0,607.0,1963.0,17.0,0.0,0.0,484.0,0.0,1581.0,965.0,0.0,1.0,443.0,0.0,112.0,0.0,121.0,0.0
9.0,0.0,6139.0,608.0,1921.0,16.0,0.0,0.0,484.0,0.0,1570.0,976.0,0.0,0.0,436.0,0.0,102.0,0.0,123.0,0.0
9.0,0.0,5830.0,606.0,1741.0,17.0,0.0,0.0,484.0,0.0,1526.0,986.0,0.0,0.0,435.0,0.0,113.0,0.0,120.0,0.0
9.0,0.0,6017.0,605.0,1528.0,16.0,0.0,0.0,484.0,0.0,1527.0,988.0,0.0,1.0,442.0,0.0,147.0,0.0,111.0,0.0
9.0,0.0,6049.0,602.0,1366.0,16.0,0.0,0.0,484.0,0.0,1535.0,993.0,0.0,0.0,433.0,0.0,139.0,0.0,104.0,0.0
9.0,0.0,6081.0,599.0,1271.0,16.0,0.0,0.0,484.0,0.0,1551.0,996.0,0.0,1.0,438.0,0.0,142.0,0.0,94.0,0.0
9.0,0.0,5890.0,564.0,1177.0,16.0,0.0,0.0,485.0,0.0,1494.0,1007.0,0.0,1.0,436.0,0.0,131.0,0.0,94.0,0.0
9.0,0.0,5918.0,560.0,1112.0,16.0,0.0,0.0,484.0,0.0,1482.0,1016.0,0.0,0.0,426.0,0.0,122.0,0.0,105.0,0.0
9.0,0.0,5908.0,561.0,1105.0,16.0,0.0,0.0,485.0,0.0,1453.0,1027.0,0.0,1.0,425.0,0.0,147.0,0.0,113.0,0.0
9.0,0.0,5846.0,561.0,1104.0,16.0,0.0,0.0,485.0,0.0,1441.0,1033.0,0.0,0.0,428.0,0.0,172.0,0.0,113.0,0.0
10.0,0.0,5785.0,530.0,1104.0,16.0,0.0,0.0,485.0,0.0,1418.0,1037.0,0.0,1.0,430.0,0.0,168.0,0.0,113.0,0.0
9.0,0.0,5760.0,519.0,1108.0,16.0,0.0,0.0,485.0,0.0,1400.0,1040.0,0.0,0.0,426.0,0.0,149.0,0.0,115.0,0.0
9.0,0.0,5777.0,519.0,1106.0,17.0,0.0,0.0,485.0,0.0,1391.0,1045.0,0.0,1.0,424.0,0.0,117.0,0.0,106.0,0.0
9.0,0.0,5815.0,520.0,1102.0,16.0,0.0,0.0,485.0,0.0,1405.0,1036.0,0.0,0.0,430.0,0.0,104.0,0.0,100.0,0.0
9.0,0.0,5661.0,503.0,1103.0,16.0,0.0,0.0,485.0,0.0,1383.0,1025.0,0.0,1.0,425.0,0.0,101.0,0.0,102.0,0.0
9.0,0.0,5648.0,501.0,1105.0,17.0,0.0,0.0,485.0,0.0,1375.0,1023.0,0.0,0.0,419.0,0.0,108.0,0.0,99.0,0.0
9.0,0.0,5686.0,504.0,1108.0,16.0,0.0,0.0,485.0,0.0,1381.0,1025.0,0.0,1.0,418.0,0.0,111.0,0.0,97.0,0.0
9.0,0.0,5718.0,506.0,1106.0,16.0,0.0,0.0,485.0,0.0,1422.0,1021.0,0.0,0.0,421.0,0.0,120.0,0.0,100.0,0.0
9.0,0.0,5700.0,530.0,1104.0,16.0,0.0,0.0,485.0,0.0,1525.0,1018.0,0.0,1.0,417.0,0.0,113.0,0.0,92.0,0.0
9.0,0.0,5727.0,537.0,1106.0,17.0,0.0,0.0,485.0,0.0,1558.0,1007.0,0.0,0.0,416.0,0.0,105.0,0.0,98.0,0.0
9.0,0.0,5777.0,539.0,1111.0,17.0,0.0,0.0,485.0,0.0,1588.0,1000.0,0.0,1.0,422.0,0.0,99.0,0.0,91.0,0.0
9.0,0.0,5819.0,539.0,1110.0,17.0,0.0,0.0,485.0,0.0,1651.0,996.0,0.0,0.0,423.0,0.0,106.0,0.0,80.0,0.0
10.0,0.0,5699.0,543.0,1110.0,18.0,0.0,0.0,485.0,0.0,1665.0,1005.0,0.0,1.0,430.0,0.0,92.0,0.0,81.0,0.0
10.0,0.0,5693.0,543.0,1109.0,17.0,0.0,0.0,485.0,0.0,1661.0,1003.0,0.0,0.0,425.0,0.0,74.0,0.0,82.0,0.0
10.0,0.0,5658.0,537.0,1114.0,17.0,0.0,0.0,485.0,0.0,1653.0,1002.0,0.0,1.0,427.0,0.0,81.0,0.0,95.0,1.0
10.0,0.0,5709.0,536.0,1115.0,17.0,0.0,0.0,485.0,0.0,1661.0,1000.0,0.0,0.0,423.0,0.0,95.0,0.0,89.0,0.0
9.0,0.0,5730.0,538.0,1173.0,17.0,0.0,0.0,485.0,0.0,1722.0,992.0,0.0,0.0,424.0,0.0,117.0,0.0,88.0,0.0
9.0,0.0,5733.0,529.0,1193.0,17.0,0.0,0.0,485.0,0.0,1758.0,974.0,1.0,0.0,421.0,0.0,142.0,0.0,98.0,0.0
9.0,0.0,5755.0,528.0,1171.0,17.0,0.0,0.0,485.0,0.0,1749.0,967.0,1.0,0.0,419.0,0.0,164.0,0.0,106.0,0.0
9.0,0.0,5731.0,529.0,1199.0,17.0,0.0,0.0,485.0,0.0,1746.0,963.0,2.0,0.0,414.0,0.0,168.0,0.0,114.0,0.0
