Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
16.0,0.0,1021.0,98.0,0.0,28.0,0.0,0.0,486.0,0.0,3789.0,397.0,0.0,1.0,306.0,11.0,2996.0,2.0,2397.0,5.0
17.0,0.0,1019.0,95.0,0.0,29.0,0.0,0.0,486.0,0.0,3909.0,395.0,0.0,1.0,306.0,11.0,2974.0,1.0,2441.0,5.0
18.0,0.0,1020.0,94.0,0.0,29.0,0.0,0.0,486.0,0.0,3896.0,397.0,0.0,1.0,301.0,11.0,2972.0,1.0,2433.0,5.0
19.0,0.0,1019.0,94.0,0.0,28.0,0.0,0.0,486.0,0.0,3825.0,395.0,0.0,1.0,307.0,11.0,2976.0,2.0,2435.0,5.0
19.0,0.0,1019.0,94.0,0.0,28.0,0.0,0.0,486.0,0.0,3867.0,420.0,0.0,1.0,312.0,11.0,3014.0,2.0,2427.0,5.0
18.0,0.0,1020.0,91.0,0.0,29.0,0.0,0.0,486.0,0.0,3902.0,434.0,0.0,1.0,312.0,11.0,3007.0,2.0,2418.0,5.0
18.0,0.0,1027.0,90.0,0.0,28.0,0.0,0.0,486.0,0.0,3918.0,428.0,0.0,1.0,304.0,11.0,2980.0,2.0,2334.0,5.0
18.0,0.0,1027.0,90.0,0.0,31.0,0.0,0.0,486.0,0.0,3941.0,430.0,0.0,1.0,304.0,11.0,2981.0,2.0,2271.0,4.0
19.0,0.0,1034.0,91.0,0.0,28.0,0.0,0.0,486.0,0.0,3670.0,444.0,0.0,1.0,306.0,10.0,2964.0,2.0,2238.0,5.0
19.0,0.0,1027.0,89.0,0.0,28.0,0.0,0.0,486.0,0.0,3673.0,441.0,0.0,1.0,304.0,11.0,3015.0,2.0,2215.0,5.0
19.0,0.0,1036.0,89.0,0.0,28.0,0.0,0.0,486.0,0.0,3542.0,437.0,0.0,1.0,303.0,11.0,3044.0,2.0,2161.0,5.0
18.0,0.0,1052.0,89.0,0.0,28.0,0.0,0.0,486.0,0.0,3514.0,437.0,0.0,1.0,310.0,11.0,3050.0,1.0,2052.0,4.0
18.0,0.0,1049.0,91.0,0.0,28.0,0.0,0.0,486.0,0.0,3576.0,437.0,0.0,1.0,302.0,11.0,3041.0,2.0,2019.0,4.0
19.0,0.0,1036.0,94.0,0.0,28.0,0.0,0.0,486.0,0.0,3564.0,438.0,0.0,1.0,301.0,11.0,3032.0,2.0,2003.0,5.0
18.0,0.0,1036.0,96.0,0.0,28.0,0.0,0.0,486.0,0.0,3431.0,446.0,0.0,1.0,300.0,11.0,3042.0,1.0,2095.0,5.0
19.0,0.0,1038.0,92.0,0.0,28.0,0.0,0.0,486.0,0.0,3439.0,456.0,0.0,1.0,299.0,11.0,3003.0,2.0,2117.0,5.0
19.0,0.0,1015.0,94.0,0.0,30.0,0.0,0.0,486.0,0.0,3438.0,452.0,0.0,1.0,312.0,10.0,3015.0,2.0,2087.0,5.0
18.0,0.0,970.0,95.0,0.0,28.0,0.0,0.0,486.0,0.0,3501.0,446.0,0.0,1.0,312.0,11.0,3039.0,2.0,2089.0,5.0
18.0,0.0,978.0,92.0,0.0,28.0,0.0,0.0,486.0,0.0,3454.0,445.0,0.0,1.0,310.0,11.0,3034.0,1.0,2055.0,5.0
