Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
14.0,0.0,811.0,120.0,312.0,20.0,0.0,0.0,486.0,0.0,4207.0,536.0,0.0,1.0,340.0,0.0,3437.0,0.0,2421.0,0.0
14.0,0.0,817.0,120.0,321.0,20.0,0.0,0.0,486.0,0.0,4033.0,523.0,0.0,1.0,339.0,0.0,3539.0,0.0,2356.0,0.0
14.0,0.0,803.0,120.0,302.0,20.0,0.0,0.0,486.0,0.0,4080.0,546.0,0.0,1.0,345.0,0.0,3388.0,0.0,2290.0,1.0
14.0,0.0,783.0,119.0,290.0,20.0,0.0,0.0,487.0,0.0,4169.0,540.0,0.0,1.0,348.0,0.0,3449.0,0.0,2279.0,0.0
14.0,0.0,775.0,119.0,287.0,20.0,0.0,0.0,487.0,0.0,4023.0,550.0,0.0,1.0,348.0,0.0,3102.0,0.0,2247.0,1.0
15.0,0.0,779.0,119.0,280.0,20.0,0.0,0.0,487.0,0.0,3976.0,558.0,0.0,1.0,349.0,0.0,3145.0,0.0,2248.0,0.0
14.0,0.0,771.0,119.0,278.0,20.0,0.0,0.0,487.0,0.0,3901.0,570.0,0.0,1.0,348.0,0.0,3091.0,0.0,2277.0,0.0
14.0,0.0,777.0,118.0,287.0,20.0,0.0,0.0,487.0,0.0,3883.0,572.0,0.0,1.0,346.0,0.0,3105.0,0.0,2225.0,0.0
13.0,0.0,886.0,112.0,291.0,20.0,0.0,0.0,487.0,0.0,3992.0,550.0,0.0,1.0,344.0,0.0,3349.0,0.0,2297.0,0.0
15.0,0.0,834.0,120.0,275.0,20.0,0.0,0.0,487.0,0.0,4086.0,553.0,0.0,1.0,338.0,0.0,3417.0,0.0,2306.0,0.0
15.0,0.0,784.0,120.0,289.0,20.0,0.0,0.0,487.0,0.0,3983.0,570.0,0.0,1.0,346.0,0.0,3333.0,0.0,2297.0,1.0
15.0,0.0,777.0,120.0,285.0,20.0,0.0,0.0,487.0,0.0,4016.0,574.0,0.0,1.0,341.0,0.0,3408.0,0.0,2294.0,0.0
15.0,0.0,773.0,118.0,274.0,20.0,0.0,0.0,487.0,0.0,4016.0,563.0,0.0,1.0,345.0,0.0,3496.0,0.0,2288.0,0.0
15.0,0.0,777.0,119.0,283.0,20.0,0.0,0.0,487.0,0.0,4118.0,561.0,0.0,1.0,350.0,0.0,3482.0,0.0,2274.0,0.0
15.0,0.0,766.0,119.0,292.0,20.0,0.0,0.0,487.0,0.0,4036.0,570.0,0.0,1.0,347.0,0.0,3433.0,0.0,2241.0,1.0
15.0,0.0,776.0,118.0,285.0,20.0,0.0,0.0,487.0,0.0,3990.0,571.0,0.0,1.0,348.0,0.0,3248.0,0.0,2265.0,1.0
15.0,0.0,806.0,120.0,280.0,20.0,0.0,0.0,487.0,0.0,3963.0,556.0,0.0,1.0,349.0,0.0,3168.0,0.0,2207.0,0.0
15.0,0.0,810.0,120.0,272.0,21.0,0.0,0.0,487.0,0.0,4035.0,533.0,0.0,1.0,348.0,0.0,3236.0,0.0,2285.0,0.0
15.0,0.0,812.0,119.0,276.0,21.0,0.0,0.0,487.0,0.0,4110.0,567.0,0.0,1.0,344.0,0.0,3117.0,0.0,2333.0,0.0
15.0,0.0,786.0,120.0,276.0,21.0,0.0,0.0,487.0,0.0,4027.0,571.0,0.0,1.0,347.0,0.0,3100.0,0.0,2314.0,0.0
15.0,0.0,783.0,120.0,282.0,21.0,0.0,0.0,487.0,0.0,3920.0,578.0,0.0,1.0,351.0,0.0,2819.0,1.0,2273.0,1.0
15.0,0.0,789.0,121.0,287.0,21.0,0.0,0.0,487.0,0.0,3828.0,569.0,0.0,1.0,351.0,0.0,2633.0,1.0,2307.0,1.0
15.0,0.0,792.0,120.0,285.0,21.0,0.0,0.0,487.0,0.0,3985.0,548.0,0.0,1.0,350.0,0.0,2702.0,1.0,2315.0,1.0
15.0,0.0,784.0,119.0,281.0,21.0,0.0,0.0,487.0,0.0,3952.0,552.0,0.0,1.0,355.0,0.0,2704.0,2.0,2326.0,1.0
15.0,0.0,770.0,119.0,279.0,21.0,0.0,0.0,487.0,0.0,3957.0,568.0,0.0,1.0,365.0,0.0,2764.0,2.0,2319.0,0.0
15.0,0.0,774.0,119.0,279.0,21.0,0.0,0.0,487.0,0.0,3909.0,561.0,0.0,1.0,357.0,0.0,2849.0,1.0,2297.0,1.0
15.0,0.0,794.0,118.0,280.0,21.0,0.0,0.0,487.0,0.0,4029.0,544.0,0.0,1.0,356.0,0.0,2933.0,1.0,2326.0,0.0
15.0,0.0,763.0,118.0,281.0,21.0,0.0,0.0,486.0,0.0,3939.0,564.0,0.0,1.0,358.0,0.0,2758.0,2.0,2297.0,0.0
14.0,0.0,763.0,120.0,281.0,21.0,0.0,0.0,486.0,0.0,3844.0,562.0,0.0,1.0,353.0,0.0,2678.0,2.0,2231.0,1.0
14.0,0.0,777.0,107.0,282.0,21.0,0.0,0.0,486.0,0.0,3814.0,568.0,0.0,1.0,348.0,0.0,2700.0,2.0,2238.0,0.0
14.0,0.0,769.0,101.0,284.0,21.0,0.0,0.0,486.0,0.0,3816.0,568.0,0.0,1.0,350.0,0.0,2682.0,2.0,2263.0,0.0
14.0,0.0,785.0,116.0,285.0,21.0,0.0,0.0,486.0,0.0,3805.0,566.0,0.0,1.0,351.0,0.0,2706.0,2.0,2266.0,0.0
14.0,0.0,763.0,101.0,283.0,21.0,0.0,0.0,486.0,0.0,3682.0,569.0,0.0,1.0,350.0,0.0,2551.0,2.0,2161.0,1.0
14.0,0.0,767.0,100.0,280.0,20.0,0.0,0.0,486.0,0.0,3721.0,570.0,0.0,1.0,358.0,0.0,2545.0,2.0,2218.0,0.0
14.0,0.0,772.0,101.0,280.0,20.0,0.0,0.0,486.0,0.0,3759.0,565.0,0.0,1.0,358.0,0.0,2634.0,2.0,2252.0,0.0
15.0,0.0,796.0,101.0,280.0,20.0,0.0,0.0,486.0,0.0,3704.0,569.0,0.0,1.0,353.0,0.0,2536.0,2.0,2245.0,0.0
15.0,0.0,827.0,107.0,279.0,20.0,0.0,0.0,486.0,0.0,3748.0,567.0,0.0,1.0,357.0,0.0,2323.0,2.0,2258.0,1.0
15.0,0.0,848.0,107.0,280.0,21.0,0.0,0.0,486.0,0.0,3814.0,569.0,1.0,0.0,356.0,0.0,2250.0,1.0,2148.0,1.0
15.0,0.0,855.0,108.0,279.0,20.0,0.0,0.0,486.0,0.0,3810.0,576.0,1.0,0.0,352.0,1.0,2217.0,2.0,2148.0,0.0
15.0,0.0,860.0,108.0,279.0,20.0,0.0,0.0,486.0,0.0,3827.0,574.0,2.0,0.0,350.0,1.0,2209.0,2.0,2211.0,0.0
15.0,0.0,866.0,119.0,280.0,20.0,0.0,0.0,486.0,0.0,3961.0,577.0,3.0,0.0,346.0,1.0,2016.0,2.0,2134.0,0.0
15.0,0.0,864.0,119.0,283.0,20.0,0.0,0.0,486.0,0.0,3831.0,575.0,3.0,0.0,344.0,0.0,2064.0,2.0,2125.0,1.0
15.0,0.0,848.0,106.0,281.0,20.0,0.0,0.0,486.0,0.0,3917.0,571.0,4.0,0.0,343.0,0.0,2006.0,2.0,2129.0,0.0
15.0,0.0,848.0,101.0,282.0,20.0,0.0,0.0,486.0,0.0,4164.0,546.0,5.0,0.0,340.0,1.0,2055.0,3.0,2082.0,0.0
14.0,0.0,819.0,100.0,280.0,20.0,0.0,0.0,486.0,0.0,4054.0,556.0,7.0,0.0,343.0,0.0,1678.0,3.0,2028.0,0.0
14.0,0.0,827.0,106.0,281.0,20.0,0.0,0.0,486.0,0.0,3992.0,555.0,9.0,0.0,341.0,0.0,1594.0,4.0,1920.0,0.0
15.0,0.0,833.0,102.0,281.0,20.0,0.0,0.0,486.0,0.0,4107.0,549.0,10.0,0.0,350.0,0.0,1546.0,5.0,1964.0,0.0
14.0,0.0,846.0,109.0,280.0,20.0,0.0,0.0,486.0,0.0,4236.0,551.0,12.0,0.0,342.0,0.0,1476.0,7.0,2000.0,0.0
14.0,0.0,954.0,120.0,282.0,20.0,0.0,0.0,486.0,0.0,4269.0,538.0,15.0,0.0,341.0,0.0,1537.0,8.0,1965.0,0.0
14.0,0.0,935.0,118.0,282.0,20.0,0.0,0.0,487.0,0.0,4392.0,507.0,18.0,0.0,339.0,0.0,1511.0,11.0,1984.0,0.0
14.0,0.0,893.0,118.0,282.0,20.0,0.0,0.0,487.0,0.0,4487.0,503.0,19.0,0.0,339.0,0.0,1494.0,11.0,1977.0,0.0
14.0,0.0,927.0,119.0,280.0,20.0,0.0,0.0,487.0,0.0,4509.0,504.0,16.0,0.0,334.0,0.0,1530.0,11.0,1982.0,1.0
14.0,0.0,969.0,118.0,277.0,20.0,0.0,0.0,487.0,0.0,4315.0,518.0,12.0,0.0,339.0,0.0,1624.0,12.0,2002.0,2.0
14.0,0.0,906.0,118.0,296.0,19.0,0.0,0.0,487.0,0.0,4217.0,521.0,14.0,0.0,335.0,0.0,1764.0,13.0,2004.0,3.0
14.0,0.0,895.0,117.0,305.0,18.0,0.0,0.0,487.0,0.0,4148.0,522.0,14.0,0.0,337.0,0.0,1926.0,13.0,2006.0,3.0
14.0,0.0,893.0,117.0,312.0,19.0,0.0,0.0,487.0,0.0,4092.0,526.0,14.0,0.0,331.0,0.0,1955.0,15.0,1999.0,4.0
14.0,0.0,904.0,117.0,303.0,18.0,0.0,0.0,487.0,0.0,3992.0,539.0,9.0,0.0,329.0,0.0,1923.0,15.0,1959.0,4.0
14.0,0.0,946.0,118.0,291.0,18.0,0.0,0.0,487.0,0.0,4079.0,495.0,8.0,0.0,326.0,0.0,1900.0,14.0,1966.0,4.0
14.0,0.0,917.0,119.0,290.0,18.0,0.0,0.0,487.0,0.0,4092.0,504.0,6.0,0.0,328.0,0.0,2057.0,9.0,1973.0,3.0
14.0,0.0,892.0,117.0,305.0,19.0,0.0,0.0,487.0,0.0,4107.0,524.0,6.0,0.0,327.0,0.0,2115.0,6.0,2161.0,0.0
14.0,0.0,1080.0,115.0,309.0,19.0,0.0,0.0,487.0,0.0,4284.0,481.0,4.0,0.0,329.0,0.0,2363.0,8.0,2270.0,0.0
14.0,0.0,934.0,116.0,326.0,19.0,0.0,0.0,487.0,0.0,4368.0,484.0,2.0,0.0,321.0,0.0,2620.0,5.0,2317.0,0.0
14.0,0.0,866.0,118.0,326.0,19.0,0.0,0.0,487.0,0.0,4294.0,511.0,1.0,0.0,322.0,0.0,2643.0,2.0,2386.0,0.0
14.0,0.0,977.0,116.0,320.0,19.0,0.0,0.0,487.0,0.0,4434.0,464.0,0.0,1.0,328.0,0.0,2643.0,1.0,2373.0,0.0
14.0,0.0,908.0,116.0,324.0,19.0,0.0,0.0,487.0,0.0,4407.0,502.0,0.0,1.0,326.0,0.0,2941.0,0.0,2353.0,0.0
14.0,0.0,950.0,114.0,323.0,19.0,0.0,0.0,487.0,0.0,4328.0,500.0,0.0,1.0,328.0,0.0,3288.0,0.0,2314.0,0.0
13.0,0.0,974.0,111.0,309.0,19.0,0.0,0.0,487.0,0.0,4284.0,505.0,0.0,1.0,328.0,0.0,3490.0,0.0,2367.0,0.0
13.0,0.0,996.0,112.0,305.0,19.0,0.0,0.0,487.0,0.0,4482.0,471.0,0.0,1.0,322.0,0.0,3537.0,0.0,2351.0,0.0
13.0,0.0,1078.0,108.0,301.0,20.0,0.0,0.0,487.0,0.0,4527.0,479.0,0.0,1.0,321.0,0.0,3473.0,0.0,2260.0,1.0
13.0,0.0,1382.0,108.0,293.0,20.0,0.0,0.0,487.0,0.0,4613.0,427.0,0.0,1.0,329.0,0.0,3665.0,0.0,2066.0,0.0
13.0,0.0,1202.0,109.0,295.0,21.0,0.0,0.0,487.0,0.0,4768.0,418.0,0.0,1.0,328.0,0.0,3698.0,0.0,1906.0,0.0
13.0,0.0,1408.0,108.0,304.0,21.0,0.0,0.0,487.0,0.0,4910.0,405.0,0.0,1.0,336.0,0.0,3769.0,0.0,1763.0,0.0
13.0,0.0,1396.0,111.0,343.0,21.0,0.0,0.0,487.0,0.0,4981.0,395.0,0.0,1.0,337.0,0.0,3736.0,0.0,1740.0,0.0
13.0,0.0,1528.0,110.0,388.0,21.0,0.0,0.0,487.0,0.0,4878.0,386.0,0.0,1.0,340.0,0.0,3610.0,0.0,1816.0,0.0
13.0,0.0,1433.0,113.0,427.0,21.0,0.0,0.0,487.0,0.0,4837.0,391.0,0.0,1.0,346.0,0.0,3581.0,0.0,1824.0,0.0
14.0,0.0,1373.0,113.0,421.0,21.0,0.0,0.0,487.0,0.0,4774.0,391.0,0.0,1.0,343.0,0.0,3558.0,0.0,1796.0,0.0
14.0,0.0,1580.0,114.0,381.0,21.0,0.0,0.0,487.0,0.0,4751.0,384.0,0.0,1.0,342.0,0.0,3496.0,0.0,1821.0,0.0
14.0,0.0,1476.0,115.0,394.0,21.0,0.0,0.0,487.0,0.0,4682.0,390.0,0.0,1.0,341.0,0.0,3367.0,0.0,1877.0,0.0
14.0,0.0,1430.0,116.0,423.0,23.0,0.0,0.0,487.0,0.0,4709.0,391.0,0.0,1.0,343.0,0.0,3363.0,0.0,1876.0,0.0
14.0,0.0,1243.0,114.0,422.0,25.0,0.0,0.0,487.0,0.0,4713.0,422.0,0.0,1.0,346.0,0.0,3466.0,0.0,1959.0,0.0
14.0,0.0,1060.0,116.0,388.0,27.0,0.0,0.0,487.0,0.0,4392.0,462.0,0.0,1.0,354.0,0.0,3614.0,0.0,1969.0,0.0
14.0,0.0,1082.0,115.0,389.0,27.0,0.0,0.0,487.0,0.0,4268.0,467.0,0.0,1.0,352.0,0.0,3702.0,0.0,1973.0,3.0
14.0,0.0,1024.0,115.0,409.0,32.0,0.0,0.0,486.0,0.0,4203.0,492.0,0.0,1.0,356.0,0.0,3622.0,0.0,1994.0,2.0
14.0,0.0,1024.0,113.0,396.0,34.0,0.0,0.0,486.0,0.0,4109.0,489.0,0.0,1.0,356.0,0.0,3642.0,0.0,2004.0,3.0
14.0,0.0,1005.0,113.0,327.0,35.0,0.0,0.0,487.0,0.0,3888.0,502.0,0.0,1.0,358.0,0.0,3534.0,0.0,2053.0,3.0
14.0,0.0,1041.0,115.0,293.0,36.0,0.0,0.0,486.0,0.0,3784.0,483.0,0.0,1.0,349.0,0.0,3563.0,0.0,2073.0,2.0
14.0,0.0,1045.0,115.0,282.0,39.0,0.0,0.0,487.0,0.0,3679.0,491.0,0.0,1.0,355.0,0.0,3364.0,0.0,2082.0,2.0
14.0,0.0,1074.0,114.0,309.0,41.0,0.0,0.0,486.0,0.0,3740.0,499.0,0.0,1.0,353.0,0.0,3271.0,0.0,2175.0,0.0
14.0,0.0,1140.0,114.0,287.0,41.0,0.0,0.0,486.0,0.0,3664.0,507.0,0.0,1.0,348.0,0.0,3391.0,0.0,2165.0,0.0
14.0,0.0,1147.0,113.0,277.0,42.0,0.0,0.0,486.0,0.0,3627.0,495.0,0.0,1.0,350.0,1.0,3387.0,0.0,2216.0,1.0
14.0,0.0,1146.0,114.0,276.0,44.0,0.0,0.0,486.0,0.0,3552.0,494.0,0.0,1.0,354.0,0.0,3231.0,0.0,2179.0,0.0
14.0,0.0,1180.0,115.0,278.0,47.0,0.0,0.0,486.0,0.0,3650.0,477.0,0.0,1.0,350.0,0.0,3126.0,0.0,2185.0,0.0
14.0,0.0,1107.0,116.0,290.0,50.0,0.0,0.0,486.0,0.0,3636.0,515.0,0.0,1.0,351.0,0.0,3197.0,0.0,2149.0,0.0
14.0,0.0,1133.0,115.0,301.0,54.0,0.0,0.0,486.0,0.0,3474.0,522.0,0.0,1.0,346.0,0.0,3285.0,0.0,2061.0,1.0
14.0,0.0,1099.0,110.0,305.0,55.0,0.0,0.0,486.0,0.0,3425.0,524.0,0.0,1.0,346.0,0.0,3243.0,0.0,2058.0,3.0
14.0,0.0,1152.0,118.0,306.0,56.0,0.0,0.0,487.0,0.0,3363.0,530.0,0.0,1.0,351.0,0.0,3107.0,0.0,2004.0,3.0
14.0,0.0,1210.0,112.0,335.0,58.0,0.0,0.0,487.0,0.0,3450.0,538.0,0.0,1.0,350.0,0.0,2645.0,0.0,1932.0,1.0
15.0,0.0,1331.0,119.0,386.0,59.0,0.0,0.0,487.0,0.0,3688.0,531.0,0.0,1.0,361.0,0.0,2394.0,0.0,1940.0,0.0
14.0,0.0,1517.0,90.0,424.0,62.0,0.0,0.0,487.0,0.0,3513.0,541.0,0.0,1.0,355.0,0.0,2248.0,0.0,1764.0,0.0
15.0,0.0,1662.0,73.0,419.0,65.0,0.0,0.0,487.0,0.0,3325.0,555.0,0.0,1.0,352.0,0.0,2333.0,0.0,1679.0,1.0
15.0,0.0,2140.0,69.0,308.0,66.0,0.0,0.0,487.0,0.0,3097.0,535.0,0.0,1.0,359.0,0.0,2074.0,0.0,1419.0,1.0
15.0,0.0,2512.0,65.0,256.0,65.0,0.0,0.0,487.0,0.0,3105.0,517.0,0.0,1.0,369.0,0.0,1892.0,0.0,1232.0,1.0
15.0,0.0,2644.0,60.0,305.0,66.0,0.0,0.0,487.0,0.0,2775.0,524.0,0.0,1.0,372.0,0.0,1810.0,0.0,1002.0,1.0
15.0,0.0,2839.0,58.0,349.0,38.0,0.0,0.0,487.0,0.0,2763.0,506.0,0.0,1.0,365.0,0.0,1667.0,0.0,1015.0,1.0
15.0,0.0,2867.0,58.0,486.0,38.0,0.0,0.0,487.0,0.0,2594.0,517.0,0.0,1.0,364.0,0.0,1536.0,0.0,974.0,1.0
15.0,0.0,2892.0,58.0,503.0,37.0,0.0,0.0,487.0,0.0,2492.0,521.0,0.0,1.0,370.0,0.0,1573.0,0.0,916.0,1.0
15.0,0.0,2844.0,63.0,512.0,37.0,0.0,0.0,487.0,0.0,2398.0,517.0,0.0,1.0,365.0,0.0,1674.0,0.0,865.0,1.0
15.0,0.0,2795.0,64.0,508.0,37.0,0.0,0.0,487.0,0.0,2325.0,514.0,0.0,1.0,340.0,0.0,1556.0,0.0,803.0,1.0
15.0,0.0,2757.0,60.0,548.0,37.0,0.0,0.0,487.0,0.0,2284.0,484.0,0.0,1.0,337.0,0.0,1514.0,0.0,759.0,1.0
15.0,0.0,2727.0,59.0,593.0,37.0,0.0,0.0,487.0,0.0,2127.0,486.0,0.0,1.0,365.0,0.0,1421.0,0.0,740.0,1.0
15.0,0.0,2785.0,62.0,613.0,37.0,0.0,0.0,487.0,0.0,2140.0,480.0,0.0,1.0,366.0,0.0,1464.0,0.0,744.0,1.0
14.0,0.0,2721.0,61.0,622.0,37.0,0.0,0.0,487.0,0.0,2090.0,487.0,0.0,1.0,370.0,0.0,1478.0,0.0,705.0,4.0
15.0,0.0,2961.0,57.0,626.0,36.0,0.0,0.0,488.0,0.0,2128.0,487.0,0.0,1.0,372.0,0.0,1490.0,0.0,671.0,3.0
15.0,0.0,3008.0,73.0,631.0,37.0,0.0,0.0,487.0,0.0,2088.0,506.0,0.0,1.0,375.0,0.0,1438.0,0.0,636.0,2.0
15.0,0.0,3169.0,89.0,614.0,37.0,0.0,0.0,487.0,0.0,1916.0,482.0,0.0,1.0,372.0,0.0,1273.0,0.0,667.0,2.0
15.0,0.0,3168.0,94.0,640.0,37.0,0.0,0.0,487.0,0.0,1923.0,477.0,0.0,1.0,368.0,0.0,1307.0,0.0,617.0,4.0
15.0,0.0,3410.0,90.0,646.0,37.0,0.0,0.0,487.0,0.0,1943.0,485.0,0.0,1.0,371.0,0.0,1396.0,0.0,573.0,6.0
15.0,0.0,3581.0,79.0,660.0,37.0,0.0,0.0,487.0,0.0,1956.0,468.0,0.0,1.0,364.0,0.0,1393.0,0.0,583.0,4.0
15.0,0.0,3721.0,62.0,656.0,15.0,0.0,0.0,487.0,0.0,1919.0,476.0,0.0,1.0,368.0,0.0,1468.0,0.0,564.0,4.0
15.0,0.0,3854.0,45.0,734.0,12.0,0.0,0.0,487.0,0.0,1988.0,501.0,0.0,1.0,366.0,0.0,1466.0,0.0,636.0,2.0
