Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
44.0,0.0,1103.0,26.0,1285.0,10.0,0.0,0.0,486.0,0.0,3518.0,1333.0,1.0,1.0,412.0,0.0,2058.0,19.0,1960.0,1.0
44.0,0.0,1117.0,27.0,1289.0,11.0,0.0,0.0,486.0,0.0,3517.0,1344.0,1.0,1.0,417.0,0.0,2025.0,19.0,1964.0,1.0
44.0,0.0,1111.0,26.0,1283.0,11.0,0.0,0.0,486.0,0.0,3466.0,1347.0,1.0,1.0,412.0,0.0,1964.0,19.0,1947.0,1.0
45.0,0.0,1136.0,26.0,1294.0,11.0,0.0,0.0,486.0,0.0,3459.0,1348.0,1.0,0.0,416.0,0.0,2161.0,4.0,1872.0,1.0
45.0,0.0,1140.0,26.0,1279.0,11.0,0.0,0.0,486.0,0.0,3663.0,1319.0,2.0,0.0,412.0,0.0,2215.0,19.0,1900.0,1.0
45.0,0.0,1140.0,26.0,1253.0,10.0,0.0,0.0,486.0,0.0,3797.0,1281.0,6.0,0.0,412.0,0.0,2196.0,19.0,1924.0,1.0
45.0,0.0,1141.0,27.0,1224.0,10.0,0.0,0.0,486.0,0.0,3938.0,1250.0,14.0,0.0,426.0,0.0,2178.0,19.0,1950.0,1.0
45.0,0.0,1168.0,27.0,1208.0,10.0,0.0,0.0,486.0,0.0,3992.0,1211.0,22.0,0.0,425.0,0.0,1931.0,19.0,2032.0,0.0
45.0,0.0,1162.0,28.0,1208.0,10.0,0.0,0.0,486.0,0.0,3995.0,1179.0,31.0,0.0,425.0,0.0,1968.0,19.0,2024.0,0.0
45.0,0.0,1159.0,28.0,1214.0,11.0,0.0,0.0,486.0,0.0,4079.0,1130.0,48.0,0.0,428.0,0.0,1978.0,19.0,2000.0,0.0
45.0,0.0,1172.0,28.0,1214.0,11.0,0.0,0.0,486.0,0.0,4103.0,1101.0,60.0,0.0,418.0,0.0,1919.0,19.0,1979.0,0.0
45.0,0.0,1172.0,28.0,1213.0,11.0,0.0,0.0,486.0,0.0,4053.0,1105.0,61.0,0.0,413.0,0.0,1982.0,19.0,1990.0,0.0
45.0,0.0,1155.0,28.0,1216.0,11.0,0.0,0.0,486.0,0.0,4007.0,1104.0,65.0,0.0,420.0,0.0,1989.0,6.0,1906.0,0.0
45.0,0.0,1160.0,28.0,1215.0,10.0,0.0,0.0,486.0,0.0,4008.0,1065.0,71.0,0.0,415.0,0.0,1976.0,2.0,1881.0,0.0
45.0,0.0,1165.0,29.0,1215.0,10.0,0.0,0.0,486.0,0.0,3955.0,1043.0,85.0,0.0,425.0,0.0,1960.0,2.0,1935.0,0.0
45.0,0.0,1167.0,28.0,1215.0,11.0,0.0,0.0,486.0,0.0,4134.0,1064.0,96.0,0.0,426.0,0.0,1988.0,19.0,2047.0,0.0
45.0,0.0,1157.0,28.0,1213.0,11.0,0.0,0.0,486.0,0.0,4142.0,1062.0,78.0,0.0,428.0,0.0,2051.0,19.0,2048.0,0.0
45.0,0.0,1139.0,33.0,1209.0,10.0,0.0,0.0,486.0,0.0,4686.0,1048.0,78.0,0.0,426.0,0.0,1978.0,19.0,2059.0,0.0
45.0,0.0,1160.0,29.0,1213.0,11.0,0.0,0.0,485.0,0.0,4745.0,1057.0,84.0,0.0,422.0,0.0,1938.0,18.0,2036.0,0.0
45.0,0.0,1179.0,28.0,1210.0,11.0,0.0,0.0,486.0,0.0,4231.0,1064.0,89.0,0.0,417.0,0.0,1854.0,3.0,1638.0,0.0
45.0,0.0,1246.0,25.0,1214.0,11.0,0.0,0.0,485.0,0.0,4152.0,1059.0,59.0,0.0,428.0,0.0,1807.0,12.0,1620.0,0.0
45.0,0.0,1304.0,26.0,1214.0,11.0,0.0,0.0,485.0,0.0,3939.0,1059.0,50.0,0.0,421.0,0.0,1790.0,13.0,1568.0,0.0
45.0,0.0,1259.0,26.0,1213.0,12.0,0.0,0.0,485.0,0.0,3921.0,1085.0,36.0,0.0,420.0,0.0,1778.0,12.0,1561.0,0.0
45.0,0.0,1234.0,26.0,1215.0,12.0,0.0,0.0,485.0,0.0,3696.0,1134.0,20.0,0.0,431.0,0.0,1775.0,7.0,1755.0,0.0
45.0,0.0,1275.0,24.0,1210.0,12.0,0.0,0.0,485.0,0.0,3386.0,1180.0,18.0,0.0,429.0,0.0,1820.0,14.0,1810.0,0.0
45.0,0.0,1309.0,24.0,1212.0,12.0,0.0,0.0,485.0,0.0,3362.0,1203.0,18.0,0.0,432.0,0.0,1864.0,11.0,1782.0,0.0
45.0,0.0,1302.0,24.0,1216.0,12.0,0.0,0.0,485.0,0.0,3274.0,1220.0,24.0,0.0,424.0,0.0,1950.0,13.0,1689.0,0.0
45.0,0.0,1287.0,24.0,1223.0,11.0,0.0,0.0,485.0,0.0,3008.0,1207.0,23.0,0.0,433.0,0.0,1868.0,13.0,1650.0,0.0
45.0,0.0,1266.0,24.0,1229.0,11.0,0.0,0.0,485.0,0.0,2844.0,1261.0,18.0,0.0,428.0,0.0,1753.0,11.0,1572.0,0.0
45.0,0.0,1266.0,25.0,1239.0,11.0,0.0,0.0,485.0,0.0,2730.0,1267.0,12.0,0.0,438.0,0.0,1650.0,10.0,1549.0,0.0
45.0,0.0,1322.0,24.0,1225.0,11.0,0.0,0.0,485.0,0.0,2643.0,1204.0,6.0,0.0,433.0,0.0,1590.0,8.0,1500.0,0.0
45.0,0.0,1289.0,24.0,1230.0,10.0,0.0,0.0,485.0,0.0,2581.0,1094.0,3.0,0.0,430.0,0.0,1392.0,9.0,1368.0,0.0
45.0,0.0,1302.0,24.0,1227.0,11.0,0.0,0.0,485.0,0.0,2481.0,1133.0,0.0,1.0,433.0,0.0,1378.0,7.0,1361.0,0.0
45.0,0.0,1323.0,24.0,1229.0,10.0,0.0,0.0,485.0,0.0,2475.0,1128.0,1.0,1.0,426.0,0.0,1365.0,8.0,1301.0,0.0
45.0,0.0,1467.0,25.0,1260.0,10.0,0.0,0.0,485.0,0.0,2549.0,1077.0,1.0,1.0,436.0,0.0,1330.0,8.0,1245.0,0.0
45.0,0.0,1389.0,26.0,1362.0,10.0,0.0,0.0,485.0,0.0,2960.0,998.0,1.0,1.0,426.0,0.0,1223.0,6.0,1200.0,0.0
45.0,0.0,1382.0,26.0,1392.0,10.0,0.0,0.0,486.0,0.0,2982.0,999.0,1.0,1.0,415.0,0.0,1151.0,4.0,1266.0,0.0
45.0,0.0,1375.0,26.0,1396.0,10.0,0.0,0.0,486.0,0.0,2850.0,1002.0,1.0,1.0,431.0,0.0,1164.0,4.0,1286.0,0.0
45.0,0.0,1394.0,26.0,1401.0,10.0,0.0,0.0,486.0,0.0,2888.0,1001.0,1.0,1.0,429.0,0.0,1281.0,4.0,1271.0,0.0
45.0,0.0,1491.0,24.0,1410.0,10.0,0.0,0.0,486.0,0.0,2874.0,992.0,1.0,1.0,433.0,0.0,1265.0,7.0,1285.0,0.0
45.0,0.0,1579.0,24.0,1409.0,10.0,0.0,0.0,486.0,0.0,2674.0,995.0,1.0,1.0,425.0,0.0,1270.0,7.0,1364.0,0.0
45.0,0.0,1603.0,25.0,1392.0,10.0,0.0,0.0,486.0,0.0,2542.0,1003.0,1.0,1.0,426.0,0.0,1264.0,6.0,1377.0,0.0
